IssueType,EpicName,Summary,EpicLink,Description,Status
Task,Enterprise Functionality,Support custom tenant configurations,Implement Multi-tenancy,Develop functionality to allow tenants to customize settings and configurations for their specific needs.,Open
Task,Enterprise Functionality,Ensure data security and privacy for tenants,Implement Multi-tenancy,Implement robust security measures to protect tenant data and ensure compliance with privacy regulations.,Open
Story,Enterprise Functionality,Add Account Upgrade System,Enterprise Functionality,"Create a system for users to upgrade their accounts, including payment processing and subscription management.",Open
Task,Enterprise Functionality,Integrate Stripe for payments,Add Account Upgrade System,Set up Stripe integration to handle secure payment processing for account upgrades.,Open
Task,Enterprise Functionality,Define account plans model,Add Account Upgrade System,Develop a model to define different account plans and features available for each.,Open
Task,Enterprise Functionality,Allow self-serve account upgrades,Add Account Upgrade System,Implement a user-friendly interface for users to upgrade their accounts independently.,Open
Task,Enterprise Functionality,Handle subscription management,Add Account Upgrade System,"Manage user subscriptions, including renewals, modifications, and billing.",Open
Task,Enterprise Functionality,Cancel/downgrade workflow,Add Account Upgrade System,Create a process for users to cancel or downgrade their subscriptions smoothly.,Open
Task,Enterprise Functionality,Optimize user experience during the upgrade process,Add Account Upgrade System,Enhance the user interface and workflow to ensure a seamless upgrade experience for users.,Open
Story,Enterprise Functionality,Transactional Email Capabilities,Enterprise Functionality,"Develop the ability to send transactional emails, including integration with an email service and template creation.",Open
Task,Enterprise Functionality,Integrate email delivery provider,Transactional Email Capabilities,Choose and integrate an email delivery service to handle transactional email sending.,Open
Task,Enterprise Functionality,Create email templates,Transactional Email Capabilities,Design and implement various email templates for different transactional emails.,Open
Task,Enterprise Functionality,Configure triggers for emails,Transactional Email Capabilities,Set up triggers in the system to send emails based on specific actions or events.,Open
Task,Enterprise Functionality,Validate emails during staging,Transactional Email Capabilities,Test and validate email functionality and appearance during the staging phase.,Open
Task,Enterprise Functionality,Parameterize emails using Jinja,Transactional Email Capabilities,Implement Jinja or a similar templating engine to dynamically insert data into emails.,Open
Task,Enterprise Functionality,Monitor and analyze email performance metrics,Transactional Email Capabilities,"Set up monitoring for email performance metrics like delivery rates, open rates, and click-through rates.",Open
Task,Enterprise Functionality,Conduct thorough testing and quality assurance,Implement Multi-tenancy,"Perform comprehensive testing and quality assurance for the multi-tenancy implementation, ensuring data isolation and system robustness.",Open
Task,Enterprise Functionality,Conduct thorough testing and quality assurance,Add Account Upgrade System,"Conduct detailed testing and quality assurance for the account upgrade system, focusing on payment processing and user experience.",Open
Task,Enterprise Functionality,Regularly update documentation to reflect current state,Implement Multi-tenancy,Ensure documentation for multi-tenancy is frequently updated to reflect the latest architecture and data handling methods.,Open
Task,Enterprise Functionality,Regularly update documentation to reflect current state,Add Account Upgrade System,"Maintain up-to-date documentation for the account upgrade system, including payment integration and subscription management.",Open
Task,Enterprise Functionality,Establish a user feedback loop for continuous product improvement,Implement Multi-tenancy,Institute a feedback mechanism for the multi-tenancy feature to ensure it meets user requirements and to guide further improvements.,Open
Task,Enterprise Functionality,Establish a user feedback loop for continuous product improvement,Add Account Upgrade System,Implement a process for gathering and applying user feedback on the account upgrade system to continuously refine the user experience.,Open
Story,Legacy Code Migration,Migrate Frontend to Next.js,Legacy Code Migration,"Set up the Next.js environment, migrate existing frontend templates and components, ensure responsive design and connect with the FastAPI backend.",Open
Task,Legacy Code Migration,Set up Next.js project scaffolding,Migrate Frontend to Next.js,"Create the base structure for the Next.js project, ensuring all necessary configurations are in place.",Open
Task,Legacy Code Migration,Install Tailwind CSS and dependencies,Migrate Frontend to Next.js,Add Tailwind CSS to the project and ensure all dependencies are correctly installed and configured.,Open
Task,Legacy Code Migration,Migrate components and shared UI elements,Migrate Frontend to Next.js,Move existing UI components and shared elements to the new frontend architecture.,Open
Task,Legacy Code Migration,Migrate over existing page templates,Migrate Frontend to Next.js,"Transfer existing frontend pages to the new Next.js framework, ensuring compatibility and functionality.",Open
Task,Legacy Code Migration,Connect pages to backend FastAPI endpoints,Migrate Frontend to Next.js,Link the frontend pages with the FastAPI backend endpoints to ensure seamless data flow and functionality.,Open
Task,Legacy Code Migration,Implement client-side routing,Migrate Frontend to Next.js,Establish client-side routing within the Next.js application for efficient navigation.,Open
Task,Legacy Code Migration,Set up authentication client integration,Migrate Frontend to Next.js,Integrate the authentication system into the Next.js client ensuring secure and effective user authentication.,Open
Task,Legacy Code Migration,Configure production build pipeline,Migrate Frontend to Next.js,Set up and configure the build pipeline for production deployment of the Next.js application.,Open
Task,Legacy Code Migration,Perform responsive design testing across multiple devices,Migrate Frontend to Next.js,Test the responsiveness of the Next.js application across various devices to ensure compatibility and usability.,Open
Task,Legacy Code Migration,Document the migration process and guidelines,Migrate Frontend to Next.js,Create documentation outlining the process and guidelines followed during the frontend migration for future reference.,Open
Story,Legacy Code Migration,Migrate Backend to FastAPI,Legacy Code Migration,"Establish the FastAPI framework, transfer existing Flask logic, set up new middleware, and integrate with the Supabase database.",Open
Task,Legacy Code Migration,Research & set up FastAPI project structure,Migrate Backend to FastAPI,Investigate the optimal structure for the FastAPI project and implement the foundational setup.,Open
Task,Legacy Code Migration,Containerize backend application,Migrate Backend to FastAPI,Create a containerized environment for the FastAPI application to enhance portability and scalability.,Open
Task,Legacy Code Migration,"Implement middleware - auth, schemas, logging",Migrate Backend to FastAPI,"Develop and integrate necessary middleware for authentication, schema validation, and logging in the FastAPI application.",Open
Task,Legacy Code Migration,Migrate over existing Flask endpoints,Migrate Backend to FastAPI,"Transfer and adapt existing Flask API endpoints to the new FastAPI framework, ensuring functionality and performance.",Open
Task,Legacy Code Migration,Connect endpoints to Supabase database,Migrate Backend to FastAPI,Link the FastAPI endpoints with the Supabase database for data storage and retrieval operations.,Open
Task,Legacy Code Migration,Set up background task processing,Migrate Backend to FastAPI,Implement background task processing capabilities within the FastAPI environment for asynchronous operations.,Open
Task,Legacy Code Migration,Create shared logic for API services,Migrate Backend to FastAPI,Develop common logic and services that can be reused across different parts of the API to streamline development.,Open
Task,Legacy Code Migration,Configure production deployment,Migrate Backend to FastAPI,Set up and configure the deployment process for the FastAPI application to ensure smooth transition to production.,Open
Task,Legacy Code Migration,"Implement API security measures, including rate limiting",Migrate Backend to FastAPI,"Migrate Backend to FastAPI,Enhance the security of the FastAPI application by implementing measures such as rate limiting to prevent abuse.",Open
Task,Legacy Code Migration,Write documentation for backend setup and best practices,Migrate Backend to FastAPI,Create comprehensive documentation detailing the setup and best practices for the FastAPI backend.,Open
Task,Legacy Code Migration,Conduct thorough testing and quality assurance,Migrate Frontend to Next.js,"Perform comprehensive testing and quality assurance for the frontend migration to Next.js, ensuring reliability and performance.",Open
Task,Legacy Code Migration,Conduct thorough testing and quality assurance,Migrate Backend to FastAPI,"Perform comprehensive testing and quality assurance for the backend migration to FastAPI, including API stability and security.",Open
Task,Legacy Code Migration,Regularly update documentation to reflect current state,Migrate Frontend to Next.js,Ensure documentation is regularly updated to reflect the latest developments in frontend migration to Next.js.,Open
Task,Legacy Code Migration,Regularly update documentation to reflect current state,Migrate Backend to FastAPI,"Maintain up-to-date documentation for backend migration to FastAPI, covering new structures, endpoints, and functionalities.",Open
Task,Legacy Code Migration,Establish a user feedback loop for continuous product improvement,Migrate Frontend to Next.js,Set up a feedback mechanism to continuously improve the frontend migration process based on user input.,Open
Task,Legacy Code Migration,Establish a user feedback loop for continuous product improvement,Migrate Backend to FastAPI,"Implement a feedback loop for continuous improvement in backend migration, incorporating user and stakeholder feedback.",Open
Epic,,Legacy Code Migration,,"Migrate the existing application from Python, Flask, and Bootstrap to a modern stack using Next.js and FastAPI",Open
Epic,,Core Application Functionality,,"Develop the central features of CarbonGPT, including dashboard, emissions tracking, planning tools, and data visualization.",Open
Epic,,Enterprise Functionality,,Implement advanced enterprise-level features to enhance functionality and user experience.,Open
